Date,Closing_Price
2021-03-28,121.39
2021-03-29,119.9
2021-03-30,122.15
2021-03-31,123
2021-04-04,125.9
2021-04-05,126.21
2021-04-06,127.9
2021-04-07,130.36
2021-04-08,132.995
2021-04-11,131.24
2021-04-12,134.43
2021-04-13,132.03
2021-04-14,134.5
2021-04-15,134.16
2021-04-18,134.84
2021-04-19,133.11
2021-04-20,133.5
2021-04-21,131.94
2021-04-22,134.32
2021-04-25,134.72
2021-04-26,134.39
2021-04-27,133.58
2021-04-28,133.48
2021-04-29,131.46
2021-05-02,132.54
2021-05-03,127.85
2021-05-04,128.1
2021-05-05,129.74
2021-05-06,130.21
2021-05-09,126.85
2021-05-10,125.91
2021-05-11,122.77
2021-05-12,124.97
2021-05-13,127.45
2021-05-16,126.27
2021-05-17,124.85
2021-05-18,124.69
2021-05-19,127.31
2021-05-20,125.43
2021-05-23,127.1
2021-05-24,126.9
2021-05-25,126.85
2021-05-26,125.28
2021-05-27,124.61
2021-05-31,124.28
2021-06-01,125.06
2021-06-02,123.54
2021-06-03,125.89
2021-06-06,125.9
2021-06-07,126.74
2021-06-08,127.13
2021-06-09,126.11
2021-06-10,127.35
2021-06-13,130.48
2021-06-14,129.64
2021-06-15,130.15
2021-06-16,131.79
2021-06-17,130.46
2021-06-20,132.3
2021-06-21,133.98
2021-06-22,133.7
2021-06-23,133.41
2021-06-24,133.11
2021-06-27,134.78
2021-06-28,136.33
2021-06-29,136.96
2021-06-30,137.27
2021-07-01,139.96
2021-07-05,142.02
2021-07-06,144.57
2021-07-07,143.24
2021-07-08,145.11
2021-07-11,144.5
2021-07-12,145.64
2021-07-13,149.15
2021-07-14,148.48
2021-07-15,146.39
2021-07-18,142.45
2021-07-19,146.15
2021-07-20,145.4
2021-07-21,146.8
2021-07-22,148.56
2021-07-25,148.99
2021-07-26,146.77
2021-07-27,144.98
2021-07-28,145.64
2021-07-29,145.86
2021-08-01,145.52
2021-08-02,147.36
2021-08-03,146.95
2021-08-04,147.06
2021-08-05,146.14
2021-08-08,146.09
2021-08-09,145.6
2021-08-10,145.86
2021-08-11,148.89
2021-08-12,149.1
2021-08-15,151.12
2021-08-16,150.19
2021-08-17,146.36
2021-08-18,146.7
2021-08-19,148.19
2021-08-22,149.71
2021-08-23,149.62
2021-08-24,148.36
2021-08-25,147.54
2021-08-26,148.6
2021-08-29,153.12
2021-08-30,151.83
2021-08-31,152.51
2021-09-01,153.65
2021-09-02,154.3
2021-09-06,156.69
2021-09-07,155.11
2021-09-08,154.07
2021-09-09,148.97
2021-09-12,149.55
2021-09-13,148.12
2021-09-14,149.03
2021-09-15,148.79
2021-09-16,146.06
2021-09-19,142.94
2021-09-20,143.43
2021-09-21,145.85
2021-09-22,146.83
2021-09-23,146.92
2021-09-26,145.37
2021-09-27,141.91
2021-09-28,142.83
2021-09-29,141.5
2021-09-30,142.65
2021-10-03,139.14
2021-10-04,141.11
2021-10-05,142
2021-10-06,143.29
2021-10-07,142.9
2021-10-10,142.81
2021-10-11,141.51
2021-10-12,140.91
2021-10-13,143.76
2021-10-14,144.84
2021-10-17,146.55
2021-10-18,148.76
2021-10-19,149.26
2021-10-20,149.48
2021-10-21,148.69
2021-10-24,148.64
2021-10-25,149.32
2021-10-26,148.85
2021-10-27,152.57
2021-10-28,149.8
2021-10-31,148.96
2021-11-01,150.02
2021-11-02,151.49
2021-11-03,150.96
2021-11-04,151.28
2021-11-07,150.44
2021-11-08,150.81
2021-11-09,147.92
2021-11-10,147.87
2021-11-11,149.99
2021-11-14,150
2021-11-15,151
2021-11-16,153.49
2021-11-17,157.87
2021-11-18,160.55
2021-11-21,161.02
2021-11-22,161.41
2021-11-23,161.94
2021-11-25,156.81
2021-11-28,160.24
2021-11-29,165.3
2021-11-30,164.77
2021-12-01,163.76
2021-12-02,161.84
2021-12-05,165.32
2021-12-06,171.18
2021-12-07,175.08
2021-12-08,174.56
2021-12-09,179.45
2021-12-12,175.74
2021-12-13,174.33
2021-12-14,179.3
2021-12-15,172.26
2021-12-16,171.14
2021-12-19,169.75
2021-12-20,172.99
2021-12-21,175.64
2021-12-22,176.28
2021-12-26,180.33
2021-12-27,179.29
2021-12-28,179.38
2021-12-29,178.2
2021-12-30,177.57
2022-01-02,182.01
2022-01-03,179.7
2022-01-04,174.92
2022-01-05,172
2022-01-06,172.17
2022-01-09,172.19
2022-01-10,175.08
2022-01-11,175.53
2022-01-12,172.19
2022-01-13,173.07
2022-01-17,169.8
2022-01-18,166.23
2022-01-19,164.51
2022-01-20,162.41
2022-01-23,161.62
2022-01-24,159.78
2022-01-25,159.69
2022-01-26,159.22
2022-01-27,170.33
2022-01-30,174.78
2022-01-31,174.61
2022-02-01,175.84
2022-02-02,172.9
2022-02-03,172.39
2022-02-06,171.66
2022-02-07,174.83
2022-02-08,176.28
2022-02-09,172.12
2022-02-10,168.64
2022-02-13,168.88
2022-02-14,172.79
2022-02-15,172.55
2022-02-16,168.88
2022-02-17,167.3
2022-02-21,164.32
2022-02-22,160.07
2022-02-23,162.74
2022-02-24,164.85
2022-02-27,165.12
2022-02-28,163.2
2022-03-01,166.56
2022-03-02,166.23
2022-03-03,163.17
2022-03-06,159.3
2022-03-07,157.44
2022-03-08,162.95
2022-03-09,158.52
2022-03-10,154.73
2022-03-13,150.62
2022-03-14,155.09
2022-03-15,159.59
2022-03-16,160.62
2022-03-17,163.98
2022-03-20,165.38
2022-03-21,168.82
2022-03-22,170.21
2022-03-23,174.07
2022-03-24,174.72
