Date,Closing_Price
2021-03-28,10.35
2021-03-29,10.35
2021-03-30,10.21
2021-03-31,9.36
2021-04-04,10.61
2021-04-05,10.2
2021-04-06,9.85
2021-04-07,9.79
2021-04-08,9.42
2021-04-11,8.62
2021-04-12,8.84
2021-04-13,9.35
2021-04-14,9.9
2021-04-15,9.33
2021-04-18,9.66
2021-04-19,9.28
2021-04-20,9.78
2021-04-21,9.99
2021-04-22,10.16
2021-04-25,11.5
2021-04-26,11.46
2021-04-27,10.85
2021-04-28,10.2
2021-04-29,10.03
2021-05-02,9.71
2021-05-03,9.39
2021-05-04,9.17
2021-05-05,9
2021-05-06,9.51
2021-05-09,9.74
2021-05-10,10.05
2021-05-11,10.32
2021-05-12,12.77
2021-05-13,12.98
2021-05-16,13.95
2021-05-17,14.03
2021-05-18,12.64
2021-05-19,12.55
2021-05-20,12.08
2021-05-23,13.68
2021-05-24,16.41
2021-05-25,19.56
2021-05-26,26.52
2021-05-27,26.12
2021-05-31,32.04
2021-06-01,62.55
2021-06-02,51.34
2021-06-03,47.91
2021-06-06,55
2021-06-07,55.05
2021-06-08,49.34
2021-06-09,42.81
2021-06-10,49.4
2021-06-13,57
2021-06-14,59.04
2021-06-15,55.18
2021-06-16,60.73
2021-06-17,59.26
2021-06-20,55.69
2021-06-21,58.27
2021-06-22,58.3
2021-06-23,56.7
2021-06-24,54.06
2021-06-27,58.11
2021-06-28,56.43
2021-06-29,56.68
2021-06-30,54.22
2021-07-01,51.96
2021-07-05,49.96
2021-07-06,45.07
2021-07-07,47.94
2021-07-08,46.19
2021-07-11,42.61
2021-07-12,39.35
2021-07-13,33.43
2021-07-14,36
2021-07-15,34.96
2021-07-18,34.62
2021-07-19,43.09
2021-07-20,40.78
2021-07-21,37.24
2021-07-22,36.99
2021-07-25,40.29
2021-07-26,38.01
2021-07-27,38.9
2021-07-28,38.13
2021-07-29,37.02
2021-08-01,35.2
2021-08-02,33.59
2021-08-03,29.84
2021-08-04,33.51
2021-08-05,32.7
2021-08-08,33.8
2021-08-09,31.75
2021-08-10,31.55
2021-08-11,33.07
2021-08-12,33.47
2021-08-15,35.69
2021-08-16,37.16
2021-08-17,36.55
2021-08-18,33.82
2021-08-19,34.41
2021-08-22,36.78
2021-08-23,44.26
2021-08-24,43.96
2021-08-25,40.31
2021-08-26,40.84
2021-08-29,43.33
2021-08-30,47.13
2021-08-31,43.69
2021-09-01,44.38
2021-09-02,44.02
2021-09-06,47.83
2021-09-07,47.4
2021-09-08,48.52
2021-09-09,50.16
2021-09-12,51.69
2021-09-13,47.3
2021-09-14,46.84
2021-09-15,46.04
2021-09-16,44.2
2021-09-19,40.29
2021-09-20,38.82
2021-09-21,40.08
2021-09-22,39.98
2021-09-23,40.01
2021-09-26,39.3
2021-09-27,36.99
2021-09-28,35.54
2021-09-29,38.06
2021-09-30,38.46
2021-10-03,36.77
2021-10-04,37.06
2021-10-05,36.83
2021-10-06,38.14
2021-10-07,37.19
2021-10-10,37.25
2021-10-11,36.82
2021-10-12,37.91
2021-10-13,40.07
2021-10-14,40.74
2021-10-17,43.03
2021-10-18,40.8
2021-10-19,40.88
2021-10-20,39.24
2021-10-21,36.6
2021-10-24,36.83
2021-10-25,36.05
2021-10-26,34.76
2021-10-27,35.23
2021-10-28,35.37
2021-10-31,37.07
2021-11-01,38.79
2021-11-02,40.79
2021-11-03,40.05
2021-11-04,41.7
2021-11-07,45.06
2021-11-08,39.93
2021-11-09,38.29
2021-11-10,39.46
2021-11-11,40
2021-11-14,42.68
2021-11-15,42.6
2021-11-16,42.13
2021-11-17,40.41
2021-11-18,40.87
2021-11-21,41.24
2021-11-22,39.16
2021-11-23,38.89
2021-11-25,37.63
2021-11-28,36.84
2021-11-29,33.94
2021-11-30,28.57
2021-12-01,30.28
2021-12-02,29.01
2021-12-05,28.79
2021-12-06,31.04
2021-12-07,32.35
2021-12-08,29.46
2021-12-09,27.44
2021-12-12,23.24
2021-12-13,24.5
2021-12-14,24.66
2021-12-15,24.45
2021-12-16,29.12
2021-12-19,29.7
2021-12-20,30.3
2021-12-21,28.68
2021-12-22,28.52
2021-12-26,28.7
2021-12-27,27.72
2021-12-28,27.95
2021-12-29,28.94
2021-12-30,27.2
2022-01-02,26.52
2022-01-03,25.49
2022-01-04,22.75
2022-01-05,22.46
2022-01-06,22.99
2022-01-09,22.78
2022-01-10,22.79
2022-01-11,22.72
2022-01-12,20.66
2022-01-13,20.57
2022-01-17,18.84
2022-01-18,18.32
2022-01-19,18.07
2022-01-20,17.97
2022-01-23,16.64
2022-01-24,16.02
2022-01-25,15.94
2022-01-26,14.52
2022-01-27,15.06
2022-01-30,16.06
2022-01-31,16.86
2022-02-01,15.42
2022-02-02,14.87
2022-02-03,15.35
2022-02-06,14.91
2022-02-07,16.43
2022-02-08,18.94
2022-02-09,18.59
2022-02-10,18.81
2022-02-13,17.75
2022-02-14,19.48
2022-02-15,19.67
2022-02-16,18.94
2022-02-17,17.9
2022-02-21,16.47
2022-02-22,15.73
2022-02-23,17.68
2022-02-24,17.66
2022-02-27,18.86
2022-02-28,18.32
2022-03-01,18.53
2022-03-02,18.06
2022-03-03,16.57
2022-03-06,15.21
2022-03-07,15.39
2022-03-08,15.71
2022-03-09,15.32
2022-03-10,14.3
2022-03-13,13.56
2022-03-14,14.48
2022-03-15,15.23
2022-03-16,15.19
2022-03-17,15.8
2022-03-20,15.86
2022-03-21,18.26
2022-03-22,20.74
2022-03-23,20.23
2022-03-24,20.24
