Date,Closing_Price
2021-03-28,356.15
2021-03-29,349.75
2021-03-30,352.48
2021-03-31,354.94
2021-04-04,360.82
2021-04-05,360.12
2021-04-06,358.81
2021-04-07,361.22
2021-04-08,363.21
2021-04-11,364.81
2021-04-12,365.21
2021-04-13,363.17
2021-04-14,368.8
2021-04-15,370.72
2021-04-18,369.55
2021-04-19,371.73
2021-04-20,374.09
2021-04-21,371.26
2021-04-22,373.28
2021-04-25,368.52
2021-04-26,370.21
2021-04-27,369.59
2021-04-28,373.54
2021-04-29,372.09
2021-05-02,379.32
2021-05-03,375.29
2021-05-04,372.5
2021-05-05,382.76
2021-05-06,384.32
2021-05-09,381.48
2021-05-10,378.18
2021-05-11,372.2
2021-05-12,379.53
2021-05-13,384.42
2021-05-16,383.96
2021-05-17,382.81
2021-05-18,379.66
2021-05-19,383.58
2021-05-20,380.72
2021-05-23,383.45
2021-05-24,385.38
2021-05-25,385.62
2021-05-26,387.5
2021-05-27,378.27
2021-05-31,378.23
2021-06-01,380.59
2021-06-02,383.87
2021-06-03,387.52
2021-06-06,380.4
2021-06-07,379.7
2021-06-08,379.96
2021-06-09,383.01
2021-06-10,381.83
2021-06-13,383.76
2021-06-14,383.91
2021-06-15,379.41
2021-06-16,384.75
2021-06-17,380.88
2021-06-20,386.8
2021-06-21,392.18
2021-06-22,391.97
2021-06-23,392.07
2021-06-24,394.51
2021-06-27,396.54
2021-06-28,398.79
2021-06-29,395.67
2021-06-30,394.53
2021-07-01,398.94
2021-07-05,398.86
2021-07-06,404.68
2021-07-07,407.15
2021-07-08,412.37
2021-07-11,407.88
2021-07-12,407.06
2021-07-13,409.95
2021-07-14,411.82
2021-07-15,410.37
2021-07-18,414.15
2021-07-19,416.24
2021-07-20,415.01
2021-07-21,417.54
2021-07-22,423.43
2021-07-25,423.23
2021-07-26,424.34
2021-07-27,422.22
2021-07-28,425.28
2021-07-29,429.72
2021-08-01,428.92
2021-08-02,435.07
2021-08-03,435.04
2021-08-04,443.19
2021-08-05,439.63
2021-08-08,440.47
2021-08-09,443.03
2021-08-10,444.3
2021-08-11,445.36
2021-08-12,447.82
2021-08-15,452.86
2021-08-16,452.34
2021-08-17,446.21
2021-08-18,454.26
2021-08-19,458.99
2021-08-22,454.93
2021-08-23,451.79
2021-08-24,451.23
2021-08-25,449.31
2021-08-26,450.34
2021-08-29,455.93
2021-08-30,455.49
2021-08-31,456.52
2021-09-01,460.97
2021-09-02,462.55
2021-09-06,459.6
2021-09-07,465.7
2021-09-08,465.94
2021-09-09,465.16
2021-09-12,459.66
2021-09-13,458.41
2021-09-14,460.73
2021-09-15,463.31
2021-09-16,459.51
2021-09-19,451.14
2021-09-20,452.11
2021-09-21,452.33
2021-09-22,452.78
2021-09-23,467.75
2021-09-26,460.56
2021-09-27,447.35
2021-09-28,451.79
2021-09-29,449.35
2021-09-30,448.33
2021-10-03,440.14
2021-10-04,446.24
2021-10-05,449.34
2021-10-06,452.87
2021-10-07,451.85
2021-10-10,449.7
2021-10-11,446.87
2021-10-12,445.3
2021-10-13,450.66
2021-10-14,452.39
2021-10-17,461.95
2021-10-18,467.08
2021-10-19,469.77
2021-10-20,477.23
2021-10-21,481.99
2021-10-24,490.1
2021-10-25,485.53
2021-10-26,489.11
2021-10-27,490.53
2021-10-28,491.54
2021-10-31,491.87
2021-11-01,496.99
2021-11-02,502.33
2021-11-03,515.62
2021-11-04,513.12
2021-11-07,503.81
2021-11-08,508.71
2021-11-09,505.51
2021-11-10,512.18
2021-11-11,517.17
2021-11-14,519.89
2021-11-15,526.72
2021-11-16,526.29
2021-11-17,529.37
2021-11-18,533.79
2021-11-21,539.65
2021-11-22,545.26
2021-11-23,549.73
2021-11-25,546.13
2021-11-28,554.88
2021-11-29,539.38
2021-11-30,529.84
2021-12-01,525.51
2021-12-02,528.93
2021-12-05,533.2
2021-12-06,542.02
2021-12-07,530.11
2021-12-08,524.33
2021-12-09,558.82
2021-12-12,557.22
2021-12-13,545.34
2021-12-14,565.48
2021-12-15,552.63
2021-12-16,547.61
2021-12-19,548.56
2021-12-20,545.43
2021-12-21,549.67
2021-12-22,550.37
2021-12-26,563.47
2021-12-27,564.64
2021-12-28,567.77
2021-12-29,563.91
2021-12-30,567.7
2022-01-02,566.71
2022-01-03,564.23
2022-01-04,549.92
2022-01-05,549.8
2022-01-06,536.18
2022-01-09,518.8
2022-01-10,522.03
2022-01-11,525.8
2022-01-12,516.88
2022-01-13,502.99
2022-01-17,488.07
2022-01-18,490.16
2022-01-19,482.82
2022-01-20,481.61
2022-01-23,488.9
2022-01-24,477.32
2022-01-25,483.47
2022-01-26,482.52
2022-01-27,492.43
2022-01-30,505.13
2022-01-31,508.41
2022-02-01,522.02
2022-02-02,521.77
2022-02-03,519.77
2022-02-06,515.89
2022-02-07,521.15
2022-02-08,528.83
2022-02-09,518.48
2022-02-10,509.67
2022-02-13,506.56
2022-02-14,513.92
2022-02-15,512.4
2022-02-16,515.01
2022-02-17,512.67
2022-02-21,502.18
2022-02-22,495.26
2022-02-23,505.58
2022-02-24,517.49
2022-02-27,519.25
2022-02-28,522.93
2022-03-01,528
2022-03-02,533.05
2022-03-03,525.5
2022-03-06,528.52
2022-03-07,523.36
2022-03-08,527.65
2022-03-09,532.72
2022-03-10,527.42
2022-03-13,525.95
2022-03-14,542.32
2022-03-15,543.39
2022-03-16,552.79
2022-03-17,561.35
2022-03-20,555.53
2022-03-21,559.42
2022-03-22,554.02
2022-03-23,558.11
2022-03-24,555.71
