Date,Closing_Price
2021-03-28,235.24
2021-03-29,231.85
2021-03-30,235.77
2021-03-31,242.35
2021-04-04,249.07
2021-04-05,247.86
2021-04-06,249.9
2021-04-07,253.25
2021-04-08,255.85
2021-04-11,255.91
2021-04-12,258.49
2021-04-13,255.59
2021-04-14,259.5
2021-04-15,260.74
2021-04-18,258.74
2021-04-19,258.26
2021-04-20,260.58
2021-04-21,257.17
2021-04-22,261.15
2021-04-25,261.55
2021-04-26,261.97
2021-04-27,254.56
2021-04-28,252.51
2021-04-29,252.18
2021-05-02,251.86
2021-05-03,247.79
2021-05-04,246.47
2021-05-05,249.73
2021-05-06,252.46
2021-05-09,247.18
2021-05-10,246.23
2021-05-11,239
2021-05-12,243.03
2021-05-13,248.15
2021-05-16,245.18
2021-05-17,243.08
2021-05-18,243.12
2021-05-19,246.48
2021-05-20,245.17
2021-05-23,250.78
2021-05-24,251.72
2021-05-25,251.49
2021-05-26,249.31
2021-05-27,249.68
2021-05-31,247.4
2021-06-01,247.3
2021-06-02,245.71
2021-06-03,250.79
2021-06-06,253.81
2021-06-07,252.57
2021-06-08,253.59
2021-06-09,257.24
2021-06-10,257.89
2021-06-13,259.89
2021-06-14,258.36
2021-06-15,257.38
2021-06-16,260.9
2021-06-17,259.43
2021-06-20,262.63
2021-06-21,265.51
2021-06-22,265.275
2021-06-23,266.69
2021-06-24,265.02
2021-06-27,268.72
2021-06-28,271.4
2021-06-29,270.9
2021-06-30,271.6
2021-07-01,277.65
2021-07-05,277.66
2021-07-06,279.93
2021-07-07,277.42
2021-07-08,277.94
2021-07-11,277.32
2021-07-12,280.98
2021-07-13,282.51
2021-07-14,281.03
2021-07-15,280.75
2021-07-18,277.01
2021-07-19,279.32
2021-07-20,281.4
2021-07-21,286.14
2021-07-22,289.67
2021-07-25,289.05
2021-07-26,286.54
2021-07-27,286.22
2021-07-28,286.5
2021-07-29,284.91
2021-08-01,284.82
2021-08-02,287.12
2021-08-03,286.51
2021-08-04,289.52
2021-08-05,289.46
2021-08-08,288.33
2021-08-09,286.44
2021-08-10,286.95
2021-08-11,289.81
2021-08-12,292.85
2021-08-15,294.6
2021-08-16,293.08
2021-08-17,290.73
2021-08-18,296.77
2021-08-19,304.36
2021-08-22,304.65
2021-08-23,302.62
2021-08-24,302.01
2021-08-25,299.09
2021-08-26,299.72
2021-08-29,303.59
2021-08-30,301.88
2021-08-31,301.83
2021-09-01,301.15
2021-09-02,301.14
2021-09-06,300.18
2021-09-07,300.21
2021-09-08,297.25
2021-09-09,295.71
2021-09-12,296.99
2021-09-13,299.79
2021-09-14,304.82
2021-09-15,305.22
2021-09-16,299.87
2021-09-19,294.3
2021-09-20,294.8
2021-09-21,298.58
2021-09-22,299.56
2021-09-23,299.35
2021-09-26,294.17
2021-09-27,283.52
2021-09-28,284
2021-09-29,281.92
2021-09-30,289.1
2021-10-03,283.11
2021-10-04,288.76
2021-10-05,293.11
2021-10-06,294.85
2021-10-07,294.85
2021-10-10,294.23
2021-10-11,292.88
2021-10-12,296.31
2021-10-13,302.75
2021-10-14,304.21
2021-10-17,307.29
2021-10-18,308.23
2021-10-19,307.41
2021-10-20,310.76
2021-10-21,309.16
2021-10-24,308.13
2021-10-25,310.11
2021-10-26,323.17
2021-10-27,324.35
2021-10-28,331.62
2021-10-31,329.37
2021-11-01,333.13
2021-11-02,334
2021-11-03,336.44
2021-11-04,336.06
2021-11-07,336.99
2021-11-08,335.95
2021-11-09,330.8
2021-11-10,332.43
2021-11-11,336.72
2021-11-14,336.07
2021-11-15,339.51
2021-11-16,339.12
2021-11-17,341.27
2021-11-18,343.11
2021-11-21,339.83
2021-11-22,337.68
2021-11-23,337.91
2021-11-25,329.68
2021-11-28,336.63
2021-11-29,330.59
2021-11-30,330.08
2021-12-01,329.49
2021-12-02,323.01
2021-12-05,326.19
2021-12-06,334.92
2021-12-07,334.97
2021-12-08,333.1
2021-12-09,342.54
2021-12-12,339.4
2021-12-13,328.34
2021-12-14,334.65
2021-12-15,324.9
2021-12-16,323.8
2021-12-19,319.91
2021-12-20,327.29
2021-12-21,333.2
2021-12-22,334.69
2021-12-26,342.45
2021-12-27,341.25
2021-12-28,341.95
2021-12-29,339.32
2021-12-30,336.32
2022-01-02,334.75
2022-01-03,329.01
2022-01-04,316.38
2022-01-05,313.88
2022-01-06,314.04
2022-01-09,314.27
2022-01-10,314.98
2022-01-11,318.27
2022-01-12,304.8
2022-01-13,310.2
2022-01-17,302.65
2022-01-18,303.33
2022-01-19,301.6
2022-01-20,296.03
2022-01-23,296.37
2022-01-24,288.49
2022-01-25,296.71
2022-01-26,299.84
2022-01-27,308.26
2022-01-30,310.98
2022-01-31,308.76
2022-02-01,313.46
2022-02-02,301.25
2022-02-03,305.94
2022-02-06,300.95
2022-02-07,304.56
2022-02-08,311.21
2022-02-09,302.38
2022-02-10,295.04
2022-02-13,295
2022-02-14,300.47
2022-02-15,299.5
2022-02-16,290.73
2022-02-17,287.93
2022-02-21,287.72
2022-02-22,280.27
2022-02-23,294.59
2022-02-24,297.31
2022-02-27,298.79
2022-02-28,294.95
2022-03-01,300.19
2022-03-02,295.92
2022-03-03,289.86
2022-03-06,278.91
2022-03-07,275.85
2022-03-08,288.5
2022-03-09,285.59
2022-03-10,280.07
2022-03-13,276.44
2022-03-14,287.15
2022-03-15,294.39
2022-03-16,295.22
2022-03-17,300.43
2022-03-20,299.16
2022-03-21,304.06
2022-03-22,299.49
2022-03-23,304.1
2022-03-24,303.68
