Date,Closing_Price
2021-03-28,203.7633
2021-03-29,211.8733
2021-03-30,222.6433
2021-03-31,220.5833
2021-04-04,230.35
2021-04-05,230.54
2021-04-06,223.6567
2021-04-07,227.9333
2021-04-08,225.6733
2021-04-11,233.9933
2021-04-12,254.1067
2021-04-13,244.0767
2021-04-14,246.2833
2021-04-15,246.5933
2021-04-18,238.21
2021-04-19,239.6633
2021-04-20,248.04
2021-04-21,239.8967
2021-04-22,243.1333
2021-04-25,246.0667
2021-04-26,234.9133
2021-04-27,231.4667
2021-04-28,225.6667
2021-04-29,236.48
2021-05-02,228.3
2021-05-03,224.5333
2021-05-04,223.6467
2021-05-05,221.18
2021-05-06,224.1233
2021-05-09,209.68
2021-05-10,205.7333
2021-05-11,196.63
2021-05-12,190.5633
2021-05-13,196.58
2021-05-16,192.2767
2021-05-17,192.6233
2021-05-18,187.82
2021-05-19,195.5933
2021-05-20,193.6267
2021-05-23,202.1467
2021-05-24,201.5633
2021-05-25,206.3767
2021-05-26,210.2833
2021-05-27,208.4067
2021-05-31,207.9667
2021-06-01,201.7067
2021-06-02,190.9467
2021-06-03,199.6833
2021-06-06,201.71
2021-06-07,201.1967
2021-06-08,199.5933
2021-06-09,203.3733
2021-06-10,203.2967
2021-06-13,205.8967
2021-06-14,199.7867
2021-06-15,201.6233
2021-06-16,205.5333
2021-06-17,207.77
2021-06-20,206.9433
2021-06-21,207.9033
2021-06-22,218.8567
2021-06-23,226.6067
2021-06-24,223.9567
2021-06-27,229.5733
2021-06-28,226.92
2021-06-29,226.5667
2021-06-30,225.9733
2021-07-01,226.3
2021-07-05,219.86
2021-07-06,214.8833
2021-07-07,217.6033
2021-07-08,218.9833
2021-07-11,228.5667
2021-07-12,222.8467
2021-07-13,217.7933
2021-07-14,216.8667
2021-07-15,214.74
2021-07-18,215.4067
2021-07-19,220.1667
2021-07-20,218.43
2021-07-21,216.42
2021-07-22,214.46
2021-07-25,219.2067
2021-07-26,214.9267
2021-07-27,215.66
2021-07-28,225.7833
2021-07-29,229.0667
2021-08-01,236.5567
2021-08-02,236.58
2021-08-03,236.9733
2021-08-04,238.21
2021-08-05,233.0333
2021-08-08,237.92
2021-08-09,236.6633
2021-08-10,235.94
2021-08-11,240.75
2021-08-12,239.0567
2021-08-15,228.7233
2021-08-16,221.9033
2021-08-17,229.6633
2021-08-18,224.49
2021-08-19,226.7533
2021-08-22,235.4333
2021-08-23,236.1633
2021-08-24,237.0667
2021-08-25,233.72
2021-08-26,237.3067
2021-08-29,243.6367
2021-08-30,245.24
2021-08-31,244.6967
2021-09-01,244.13
2021-09-02,244.5233
2021-09-06,250.9733
2021-09-07,251.29
2021-09-08,251.62
2021-09-09,245.4233
2021-09-12,247.6667
2021-09-13,248.1633
2021-09-14,251.9433
2021-09-15,252.33
2021-09-16,253.1633
2021-09-19,243.39
2021-09-20,246.46
2021-09-21,250.6467
2021-09-22,251.2133
2021-09-23,258.13
2021-09-26,263.7867
2021-09-27,259.1867
2021-09-28,260.4367
2021-09-29,258.4933
2021-09-30,258.4067
2021-10-03,260.51
2021-10-04,260.1967
2021-10-05,260.9167
2021-10-06,264.5367
2021-10-07,261.83
2021-10-10,263.98
2021-10-11,268.5733
2021-10-12,270.36
2021-10-13,272.7733
2021-10-14,281.01
2021-10-17,290.0367
2021-10-18,288.09
2021-10-19,288.6
2021-10-20,298
2021-10-21,303.2267
2021-10-24,341.62
2021-10-25,339.4767
2021-10-26,345.9533
2021-10-27,359.0133
2021-10-28,371.3333
2021-10-31,402.8633
2021-11-01,390.6667
2021-11-02,404.62
2021-11-03,409.97
2021-11-04,407.3633
2021-11-07,387.6467
2021-11-08,341.1667
2021-11-09,355.9833
2021-11-10,354.5033
2021-11-11,344.4733
2021-11-14,337.7967
2021-11-15,351.5767
2021-11-16,363.0033
2021-11-17,365.46
2021-11-18,379.02
